Time Period,KPSA1 All retailing excl. automotive fuel (%-change on same month a year earlier),KPSA3 All retailing excl. automotive fuel (%-change on previous month),Days Of Airfrost,Days With Over 1Mm Rain,Min Temperature (C),Max Temperature (C),Mean Temperature (C),Rainfall In Mm ,Hours Of Sunshine
1988-01-01,2.0,-2.3,8.6,21.1,1.5,6.7,4.1,169.9,46.9
1988-02-01,2.0,-2.3,9.5,13.7,1.1,6.7,3.9,90.3,87.7
1988-03-01,2.0,0.4,8.2,18.5,2.0,8.2,5.1,126.6,89.2
1988-04-01,2.0,1.5,5.2,9.1,3.3,11.0,7.1,52.8,128.7
1988-05-01,2.0,-0.3,0.5,10.8,6.0,15.0,10.5,58.5,190.7
1988-06-01,2.0,1.2,0.0,6.2,9.0,17.7,13.3,37.0,170.9
1988-07-01,2.0,1.2,0.0,20.6,10.2,16.9,13.5,150.5,130.2
1988-08-01,2.0,0.1,0.0,15.0,10.0,17.9,13.9,117.0,151.4
1988-09-01,2.0,-0.6,0.2,12.1,8.6,15.6,12.1,93.1,125.1
1988-10-01,2.0,1.7,2.5,14.5,6.3,12.5,9.4,118.6,87.3
1988-11-01,2.0,0.5,10.6,9.1,1.6,8.4,5.0,65.2,76.0
1988-12-01,2.0,0.2,2.0,11.6,4.2,9.1,6.6,81.2,33.4
1989-01-01,2.0,-1.5,4.7,12.1,3.0,8.6,5.8,97.3,52.2
1989-02-01,5.2,0.7,8.1,15.9,1.7,8.0,4.9,137.8,82.4
1989-03-01,5.1,0.3,6.6,17.1,2.4,9.6,6.0,124.5,100.9
1989-04-01,3.8,0.2,7.5,13.7,1.9,9.2,5.5,79.2,131.2
1989-05-01,5.4,1.3,0.6,6.1,6.4,16.3,11.3,32.0,243.1
1989-06-01,2.7,-1.4,0.3,9.4,8.0,17.9,12.9,62.8,211.3
1989-07-01,0.9,-0.6,0.0,6.4,11.4,21.5,16.4,42.0,244.6
1989-08-01,1.8,1.0,0.0,13.0,10.5,19.2,14.8,102.6,189.9
1989-09-01,2.8,0.4,0.2,8.5,8.9,16.8,12.9,58.9,117.2
1989-10-01,1.2,0.0,0.2,16.6,7.3,13.7,10.5,128.5,79.1
1989-11-01,0.7,0.0,7.1,8.8,2.8,8.7,5.7,60.4,75.3
1989-12-01,1.4,0.8,11.2,11.8,0.9,6.3,3.6,119.0,28.7
1990-01-01,2.3,-0.6,4.8,20.8,2.7,8.2,5.5,169.9,46.4
1990-02-01,2.9,1.3,4.4,19.5,3.1,8.8,5.9,193.3,66.9
1990-03-01,2.8,0.2,4.1,10.7,3.8,10.6,7.2,94.7,113.4
1990-04-01,1.3,-1.3,6.5,11.5,2.5,11.6,7.0,60.2,186.9
1990-05-01,2.2,2.2,0.3,6.4,6.2,16.4,11.2,35.6,225.0
1990-06-01,1.4,-2.2,0.0,14.8,8.5,16.3,12.4,93.8,121.1
1990-07-01,3.7,1.7,0.0,7.8,10.3,20.1,15.2,49.4,239.4
1990-08-01,1.1,-1.5,0.0,11.1,11.7,20.5,16.1,72.8,174.4
1990-09-01,0.6,-0.1,0.1,11.0,7.7,15.8,11.7,82.2,127.7
1990-10-01,0.0,-0.5,0.5,15.7,7.6,13.5,10.5,142.6,84.4
1990-11-01,-0.8,-0.8,5.4,12.2,3.2,8.5,5.8,79.0,57.9
1990-12-01,-0.4,1.2,11.3,14.9,1.1,6.4,3.7,130.4,37.9
1991-01-01,-1.1,-1.3,15.9,13.5,-0.2,5.3,2.5,111.4,59.3
1991-02-01,-3.1,-0.7,19.3,10.4,-1.7,4.4,1.3,70.4,59.1
1991-03-01,-0.1,3.3,5.3,13.5,3.3,10.0,6.6,94.1,80.6
1991-04-01,-1.2,-2.4,4.3,11.4,3.2,10.7,7.0,90.8,147.2
1991-05-01,-3.8,-0.5,0.8,5.2,6.0,13.9,9.9,22.6,146.1
1991-06-01,-2.0,-0.4,0.5,18.1,7.2,14.8,11.0,103.5,132.9
1991-07-01,-1.9,1.8,0.0,11.4,11.9,20.0,15.9,76.5,167.0
1991-08-01,-1.9,-1.5,0.0,7.7,11.2,20.1,15.6,43.3,183.5
1991-09-01,-1.8,-0.1,0.4,10.3,8.4,17.7,13.1,84.0,160.7
1991-10-01,-1.9,-0.6,0.7,12.1,6.0,12.0,9.0,107.2,74.4
1991-11-01,-1.1,0.0,6.6,16.2,2.8,8.6,5.7,138.3,48.0
1991-12-01,-1.9,0.4,10.4,8.9,1.4,7.2,4.2,82.6,35.1
1992-01-01,-0.2,0.4,14.2,7.4,0.6,6.1,3.4,78.8,46.8
1992-02-01,0.5,0.0,8.5,12.8,1.6,7.9,4.8,89.6,59.4
1992-03-01,-4.0,-1.3,3.8,18.7,3.1,9.2,6.1,127.9,70.2
1992-04-01,-0.5,1.2,3.0,15.1,3.8,11.0,7.4,91.0,110.8
1992-05-01,1.1,1.0,0.7,8.9,7.1,16.9,11.9,58.9,234.8
1992-06-01,0.5,-1.0,0.0,6.5,9.5,19.1,14.3,39.2,193.5
1992-07-01,-2.6,-1.3,0.0,13.0,10.8,18.6,14.7,86.7,142.5
1992-08-01,0.9,2.0,0.0,18.2,10.1,17.7,13.8,162.9,150.9
1992-09-01,0.6,-0.3,0.0,15.9,8.4,15.3,11.9,118.2,102.9
1992-10-01,1.5,0.3,5.9,13.0,3.4,10.0,6.7,95.9,84.1
1992-11-01,1.4,0.0,5.1,20.2,3.0,9.3,6.1,161.3,50.9
1992-12-01,0.4,-0.6,13.8,12.0,0.4,5.8,3.1,107.0,36.2
1993-01-01,1.8,1.9,8.1,20.3,1.7,7.7,4.7,175.5,32.8
1993-02-01,1.9,0.1,5.8,6.0,2.3,7.0,4.6,33.3,42.2
1993-03-01,3.3,-0.1,8.8,8.8,2.0,9.1,5.6,58.8,105.6
1993-04-01,1.9,-0.1,1.9,14.1,4.6,11.7,8.2,102.6,112.1
1993-05-01,0.6,-0.3,1.3,12.2,5.9,14.2,10.0,98.7,161.1
1993-06-01,2.8,1.2,0.0,10.6,9.1,17.6,13.3,68.4,160.8
1993-07-01,2.9,-1.2,0.0,15.2,9.9,17.5,13.7,94.5,145.0
1993-08-01,2.1,1.2,0.0,10.4,9.0,17.4,13.1,62.1,160.6
1993-09-01,2.7,0.2,0.6,12.7,7.5,14.9,11.2,99.7,103.0
1993-10-01,2.7,0.3,6.1,11.7,4.1,10.5,7.3,94.0,96.4
1993-11-01,2.9,0.2,12.0,9.5,1.2,6.9,4.1,73.5,54.9
1993-12-01,4.0,0.4,11.4,21.9,1.2,6.6,3.9,188.8,36.7
1994-01-01,3.3,1.2,10.9,20.1,1.3,6.7,4.0,154.1,51.6
1994-02-01,1.4,-1.7,14.6,12.5,-0.3,5.1,2.4,88.6,59.1
1994-03-01,2.8,1.3,5.1,19.3,2.9,9.1,6.0,146.3,104.2
1994-04-01,2.4,-0.4,4.6,14.8,3.1,10.6,6.9,94.5,153.3
1994-05-01,3.9,1.1,1.8,8.9,5.2,13.5,9.3,49.6,168.2
1994-06-01,2.4,-0.2,0.0,10.7,8.6,17.0,12.7,62.8,181.4
1994-07-01,3.4,-0.3,0.0,9.2,11.2,20.7,16.0,54.3,191.5
1994-08-01,3.2,1.1,0.0,11.6,10.4,18.3,14.3,82.7,153.3
1994-09-01,3.5,0.5,0.0,14.5,8.0,15.0,11.5,103.1,109.0
1994-10-01,3.0,-0.2,1.4,13.5,5.5,12.5,9.0,98.4,100.6
1994-11-01,2.4,-0.4,1.2,14.3,6.4,11.3,8.8,108.0,41.6
1994-12-01,2.1,0.1,8.4,18.7,2.4,8.3,5.3,174.2,45.0
1995-01-01,-1.0,-1.8,13.1,19.9,0.5,6.6,3.5,181.0,43.9
1995-02-01,2.3,1.6,6.6,18.7,2.1,7.9,5.0,143.0,66.7
1995-03-01,1.0,0.0,14.5,16.3,0.6,7.8,4.2,94.1,132.6
1995-04-01,0.8,-0.6,5.0,7.7,3.6,11.7,7.6,40.7,156.5
1995-05-01,0.0,0.3,3.1,11.1,5.6,14.8,10.2,59.7,191.4
1995-06-01,0.2,-0.1,0.0,6.4,8.3,17.6,12.9,29.7,206.0
1995-07-01,1.3,0.8,0.0,9.3,11.8,21.5,16.6,57.9,207.4
1995-08-01,-0.6,-0.8,0.0,4.6,11.8,22.8,17.3,18.4,251.2
1995-09-01,-0.7,0.4,0.3,15.6,8.6,16.2,12.4,135.5,120.3
1995-10-01,0.0,0.5,0.4,12.7,8.2,15.1,11.6,117.3,104.4
1995-11-01,0.9,0.5,5.7,12.7,3.9,9.8,6.8,99.8,58.3
1995-12-01,0.8,0.0,16.9,10.9,-0.9,4.1,1.6,73.4,40.8
1996-01-01,1.2,-1.4,8.1,11.3,2.2,5.7,4.0,74.7,21.4
1996-02-01,2.2,2.6,19.2,14.2,-1.1,5.1,2.0,101.8,82.7
1996-03-01,1.9,-0.3,10.5,8.2,1.1,6.4,3.7,48.7,63.0
1996-04-01,3.8,1.2,5.2,11.5,3.5,11.4,7.5,73.0,120.5
1996-05-01,3.4,0.0,4.3,11.3,3.8,12.3,8.0,65.6,177.4
1996-06-01,3.9,0.4,0.0,7.7,8.0,17.8,12.9,42.3,220.1
1996-07-01,2.6,-0.4,0.0,9.8,10.1,19.4,14.7,55.2,191.6
1996-08-01,3.8,0.3,0.0,11.5,10.8,19.4,15.1,78.5,163.5
1996-09-01,4.8,1.4,0.0,6.4,8.6,16.6,12.6,44.3,138.7
1996-10-01,4.2,-0.2,0.2,17.8,7.1,13.7,10.4,136.6,91.6
1996-11-01,4.0,0.4,13.6,17.7,1.5,7.8,4.7,147.7,75.6
1996-12-01,3.7,-0.3,15.9,9.5,-0.0,4.9,2.4,66.9,43.6
1997-01-01,5.2,0.0,18.5,5.7,-0.6,4.8,2.1,28.9,41.8
1997-02-01,3.6,1.1,6.4,17.9,2.2,8.4,5.3,168.3,63.0
1997-03-01,4.7,0.7,3.5,10.5,3.6,10.7,7.1,66.9,113.9
1997-04-01,4.1,0.6,4.3,6.3,3.7,12.3,7.9,43.1,140.7
1997-05-01,3.6,-0.5,2.1,12.7,5.6,14.9,10.2,87.3,211.8
1997-06-01,4.3,1.1,0.1,15.4,8.9,16.5,12.6,115.9,137.8
1997-07-01,5.2,0.4,0.0,11.5,10.8,19.9,15.3,63.9,194.4
1997-08-01,3.9,-0.9,0.0,11.7,12.7,21.6,17.2,83.8,179.6
1997-09-01,2.4,0.0,0.2,8.8,8.7,16.8,12.7,61.7,146.7
1997-10-01,4.2,1.5,4.6,10.0,5.5,13.0,9.2,72.4,114.1
1997-11-01,3.2,-0.6,2.3,17.4,5.1,10.3,7.7,123.2,41.0
1997-12-01,4.2,0.6,7.4,16.5,2.5,7.8,5.1,133.1,35.3
1998-01-01,4.6,0.3,10.6,15.7,1.6,7.0,4.3,134.1,44.7
1998-02-01,3.5,0.1,4.4,9.8,3.8,9.8,6.8,81.9,70.0
1998-03-01,2.9,0.1,5.5,13.5,3.4,9.9,6.7,105.2,71.2
1998-04-01,2.3,0.1,6.0,19.1,3.1,10.2,6.6,121.1,126.9
1998-05-01,4.0,1.1,0.5,7.6,7.2,16.0,11.5,41.3,187.1
1998-06-01,1.2,-1.6,0.2,17.2,9.0,16.4,12.7,121.8,140.0
1998-07-01,1.5,0.7,0.0,14.1,10.5,17.7,14.1,93.0,133.3
1998-08-01,2.8,0.4,0.0,10.8,10.3,18.7,14.5,78.9,172.7
1998-09-01,2.5,-0.3,0.1,12.7,9.9,17.0,13.4,92.6,114.6
1998-10-01,0.4,-0.5,1.9,19.3,5.9,12.2,9.1,187.7,97.3
1998-11-01,1.6,0.6,7.6,16.1,2.2,8.3,5.3,118.4,65.8
1998-12-01,0.5,-0.5,9.8,18.0,1.9,8.0,4.9,122.5,34.4
1999-01-01,1.4,1.2,8.0,19.5,1.8,7.2,4.5,164.9,50.1
1999-02-01,0.9,-0.4,9.6,13.7,1.3,7.1,4.2,83.2,75.3
1999-03-01,1.4,0.5,5.2,13.8,2.8,9.5,6.2,88.7,105.8
1999-04-01,1.3,0.0,4.7,13.7,4.5,12.2,8.3,88.6,146.9
1999-05-01,1.4,1.2,0.2,11.7,7.5,15.5,11.5,75.9,158.3
1999-06-01,3.3,0.2,0.1,13.5,8.2,16.7,12.4,93.8,167.1
1999-07-01,2.6,0.1,0.0,7.7,11.3,20.6,15.9,46.1,207.0
1999-08-01,2.8,0.6,0.1,12.4,10.6,19.0,14.8,91.9,149.6
1999-09-01,2.9,-0.2,0.0,16.1,10.2,18.2,14.2,140.2,134.6
1999-10-01,3.9,0.4,0.5,12.7,6.5,13.2,9.8,93.4,102.3
1999-11-01,3.7,0.4,3.4,12.8,4.0,9.7,6.8,109.6,61.4
1999-12-01,4.7,0.6,12.1,21.5,0.7,6.5,3.6,195.5,48.3
2000-01-01,5.7,2.2,9.9,12.0,1.4,7.2,4.3,101.9,57.9
2000-02-01,4.0,-2.0,7.2,18.9,2.0,8.1,5.1,131.6,81.4
2000-03-01,4.3,0.8,5.8,9.8,3.1,9.9,6.5,67.7,104.0
2000-04-01,3.8,-0.5,6.0,16.9,3.0,10.6,6.7,123.8,134.5
2000-05-01,2.6,0.0,0.4,12.7,6.3,15.5,10.8,77.6,209.4
2000-06-01,2.7,0.3,0.1,10.2,9.1,17.3,13.2,58.3,155.6
2000-07-01,2.9,0.3,0.0,9.4,10.0,18.2,14.1,59.7,153.8
2000-08-01,3.5,1.2,0.0,13.7,10.8,19.6,15.2,85.3,171.5
2000-09-01,3.6,-0.1,0.0,15.9,9.9,17.1,13.5,133.8,108.6
2000-10-01,4.0,0.7,0.5,20.7,6.1,12.5,9.3,199.6,86.9
2000-11-01,3.6,0.0,3.5,21.0,3.0,8.7,5.8,176.4,54.4
2000-12-01,3.1,0.1,9.8,17.3,2.2,7.0,4.6,156.7,40.2
2001-01-01,2.7,1.8,15.7,11.7,-0.2,5.3,2.5,78.9,66.5
2001-02-01,6.1,1.2,14.9,13.4,0.1,6.7,3.4,96.9,83.0
2001-03-01,5.0,-0.2,12.0,14.1,0.7,7.4,4.0,85.6,99.8
2001-04-01,6.0,0.4,4.5,15.8,2.9,10.4,6.6,89.6,134.4
2001-05-01,7.9,1.9,1.0,7.4,6.5,16.3,11.3,43.3,219.9
2001-06-01,6.8,-0.7,0.2,9.5,8.4,16.9,12.6,58.0,168.1
2001-07-01,7.7,1.1,0.0,11.6,11.1,19.4,15.2,81.6,160.1
2001-08-01,6.2,-0.2,0.0,14.7,11.0,19.3,15.2,96.8,159.3
2001-09-01,7.3,0.9,0.0,13.6,8.9,15.7,12.2,88.9,107.7
